"Transaction ID"	"Account ID"	"Symbol ID"	"ISIN"	"Operation type"	"When"	"Sum"	"Asset"	"EUR equivalent"	"Comment"	"UUID"	"Parent UUID"
"367336367"	"OEI0084.001"	"MJ.ARCA"	"None"	"TAX"	"2022-06-22 15:26:06"	"-2.1"	"USD"	"-1.98"	"200 shares ExD 2022-06-22 PD 2022-06-24 dividend MJ.ARCA 14.00 USD (0.07 per share) tax -2.10 USD (-15.000%) DivCntry US USIncmCode 06"	"6adb01f8-beb2-42f6-90e7-114a52bf9565"	"4a81aac6-6630-4233-95fc-582ad7d002d9"
"367336366"	"OEI0084.001"	"MJ.ARCA"	"None"	"DIVIDEND"	"2022-06-22 15:26:06"	"14.0"	"USD"	"13.21"	"200 shares ExD 2022-06-22 PD 2022-06-24 dividend MJ.ARCA 14.00 USD (0.07 per share) tax -2.10 USD (-15.000%) DivCntry US USIncmCode 06"	"4a81aac6-6630-4233-95fc-582ad7d002d9"	"None"
"338562407"	"OEI0084.001"	"OGZD.LSEIOB"	"US3682872078"	"TRADE"	"2022-03-01 12:34:45"	"-60"	"OGZD.LSEIOB"	"-87.29"	"None"	"fa538277-3a00-434e-973e-6f7ad7140bc7"	"None"
"338562409"	"OEI0084.001"	"OGZD.LSEIOB"	"None"	"COMMISSION"	"2022-03-01 12:34:45"	"-0.05"	"USD"	"-0.04"	"None"	"65ca29d0-9299-4c1a-9775-4c230c9bc4ef"	"None"
"338562408"	"OEI0084.001"	"OGZD.LSEIOB"	"None"	"TRADE"	"2022-03-01 12:34:45"	"97.5"	"USD"	"87.29"	"None"	"d85d01fc-59ab-4a16-af5f-d910f527b1c5"	"None"
"338562323"	"OEI0084.001"	"OGZD.LSEIOB"	"US3682872078"	"TRADE"	"2022-03-01 12:33:33"	"-1940"	"OGZD.LSEIOB"	"-2822.51"	"None"	"b5094d88-39bb-4d57-8ab2-00191bec9766"	"None"
"338562325"	"OEI0084.001"	"OGZD.LSEIOB"	"None"	"COMMISSION"	"2022-03-01 12:33:33"	"-1.58"	"USD"	"-1.41"	"None"	"e9e1fd57-e8a5-44d2-a4fb-c81fba3e56be"	"None"
"338562324"	"OEI0084.001"	"OGZD.LSEIOB"	"None"	"TRADE"	"2022-03-01 12:33:33"	"3152.5"	"USD"	"2822.51"	"None"	"6905b970-ff03-4ab8-b5a6-216f7804e16f"	"None"
"333298014"	"OEI0084.001"	"MJ.ARCA"	"None"	"TRADE"	"2022-02-04 14:30:51"	"-979.0"	"USD"	"-856.23"	"None"	"1f5f8845-7bcc-4361-9d88-85168bc00adc"	"None"
"333298016"	"OEI0084.001"	"MJ.ARCA"	"None"	"COMMISSION"	"2022-02-04 14:30:51"	"-2.0"	"USD"	"-1.75"	"None"	"5ec01d7d-3c6d-414d-9cdf-01b87927e2bb"	"None"
"333298012"	"OEI0084.001"	"MJ.ARCA"	"US26924G5080"	"TRADE"	"2022-02-04 14:30:51"	"100"	"MJ.ARCA"	"856.23"	"None"	"f829108c-8114-4bde-9708-e0eac09e9ff6"	"None"
"333257592"	"OEI0084.001"	"EUR/USD.EXANTE"	"None"	"TRADE"	"2022-02-04 10:28:23"	"2865.15"	"USD"	"2497.59"	"None"	"4e241685-e553-443e-a602-199e804f0e23"	"None"
"333257591"	"OEI0084.001"	"EUR/USD.EXANTE"	"None"	"TRADE"	"2022-02-04 10:28:23"	"-2500.0"	"EUR"	"-2500.0"	"None"	"6f77f416-407a-43c1-aa3e-2c0a56e46c75"	"None"
"327135101"	"OEI0084.001"	"MJ.ARCA"	"None"	"TAX"	"2021-12-28 11:49:56"	"-1.11"	"USD"	"-0.98"	"None"	"9c694834-aa67-455b-a764-44055e70148e"	"None"
"327135100"	"OEI0084.001"	"MJ.ARCA"	"None"	"DIVIDEND"	"2021-12-28 11:49:56"	"7.36"	"USD"	"6.5"	"100 shares 2021-12-28 dividend MJ.ARCA 7.36 USD (0.0735582 per share) tax -1.11 USD (-15.000%)"	"ffdd22b4-bff0-4cdc-8b85-f229d2ef7a43"	"None"
